DATE,ASPUS,AUTHNOTTSA,CSUSHPISA,EVACANTUSQ176N,INTDSRUSM193N,LREM25TTUSM156S,MNMFS,MORTGAGE30US,MSACSR,NHSDPTS,PERMIT,TTLCONS,UMCSENT
2008-07-01,0.16275430359937404,0.31975867249053047,0.1877694749696076,0.9076221250712795,0.3333333333333333,0.8085552212992502,0.6847133756099639,0.9123165048705553,0.9377593360970026,0.15543008966604355,0.1893864667998274,0.2635009237796009,0.20389105052170353
2008-10-01,0.13615023474178412,0.21719457024200972,0.15367368356285338,0.9688272191598557,0.125,0.7192553331222014,0.7133757959830013,0.789137379988734,1.0,0.09365659249107755,0.05918327087494607,0.22763185021393306,0.036575875567048666
2009-01-01,0.0748043818466354,0.1553544494359247,0.11933239210230173,1.0000000000000004,0.041666666666666664,0.5617649262780935,0.7770700634149459,0.5889713022158709,0.9792531116173965,0.05645964798882569,0.0,0.1767157740478681,0.05058365766930617
2009-04-01,0.12613458528951493,0.10708898926148114,0.10696722554085558,0.9268199961984416,0.041666666666666664,0.47632797776853675,0.926751592061544,0.5767547253122665,0.7634854771686094,0.07605446701839746,0.012231209274700061,0.13543181005753002,0.2824902723955247
2010-04-01,0.11173708920187797,0.04826545999344811,0.09696500088110294,0.9781410378255089,0.08333333333333334,0.3980559271703834,0.9999999999999999,0.5537008625945214,0.5684647302310567,0.04317502497365744,0.03610179523371709,0.05319229795570879,0.41634241240594094
2010-07-01,0.10297339593114241,0.022624434386069092,0.08431597405532809,0.961224101881772,0.08333333333333334,0.38918582049146533,0.6656050953612722,0.4319854751012995,0.6307053941340542,0.0016605779142590538,0.020911422356086562,0.03458717457896898,0.28482490274590067
2010-10-01,0.14053208137715179,0.01960784311951025,0.07442115602873167,0.8886143318760693,0.08333333333333334,0.3802973891636805,0.4999999998089172,0.4291705956457683,0.5518672198984177,0.00896712055765636,0.026435194284687158,0.030465244372111844,0.3540856032182169
2011-01-01,0.10954616588419408,0.006033182487868771,0.06500583027672713,0.9735791674586585,0.08333333333333334,0.40014033581213493,0.5031847132473934,0.5343907896474094,0.5186721991086586,0.0,0.016768593394840325,0.0,0.3961089495249892
2011-04-01,0.107981220657277,0.009049773754427615,0.06102028449703867,0.9441170880060827,0.08333333333333334,0.38317607781226837,0.5987261144908516,0.484145191455835,0.40663900408326303,0.012952507472170305,0.04320378773871064,0.014756022208268993,0.3680933853204742
2011-07-01,0.09358372456964004,0.016591251852951405,0.05705008211109275,0.9365139707279986,0.08333333333333334,0.3873777830918099,0.4554140126256643,0.39212678220565755,0.39004149375062414,0.007306542743032052,0.051686723211058494,0.03700973734025459,0.08326848257457331
2011-10-01,0.0832550860719875,0.0,0.04568417866512364,0.8578217068998293,0.08333333333333334,0.4067530268779658,0.34076433113351456,0.3180391548131274,0.28630705395378875,0.03586848223062544,0.09035312682962887,0.043759844715415386,0.20311284048273248
2012-01-01,0.14053208137715179,0.007541478098523791,0.04427446912228783,0.8743584869796619,0.08333333333333334,0.43931374449199634,0.3789808916308979,0.29754683239735424,0.20331950204163152,0.059116572631713216,0.12625764451349053,0.05580487682019908,0.45291828797298983
2012-04-01,0.1552425665101722,0.013574660631641422,0.06210010244353481,0.8825318380536022,0.08333333333333334,0.4511965129332234,0.3885350317552436,0.2648379333341303,0.17842323648043246,0.06874792427536541,0.1392779641059787,0.07463943751127733,0.4715953307759997
2012-07-01,0.19217527386541478,0.0542986425265658,0.07460336300101389,0.8122030032313252,0.08333333333333334,0.47125124334710744,0.34713375781938416,0.20316392446600762,0.14937759336719403,0.08369312520479266,0.1978694022721753,0.08529479996565381,0.44046692618213745
